name,latitude,longitude,num_reviews
IL Postino,37.982124,23.736944,192.0
Potato King,37.976757,23.723475,81.0
Athina Bistrot,37.96932,23.729996,337.0
Spirtokouto Cocktail Bar,37.96278,23.722113,44.0
Ellevoro,37.9682,23.72724,328.0
Oinapothiki,37.97063,23.74248,39.0
Methistanes Stin Akropoli,37.968147,23.724186,73.0
Agora Restaurant-Bar,37.986946,23.757454,762.0
Park Bench,37.96455,23.71439,76.0
Crust Pizza,37.97801,23.72551,57.0
Hill Athens Rooftop Restaurant,37.9742,23.71986,242.0
baraonda music hall,37.98655,23.75381,74.0
Xatzis,37.97402,23.6498,44.0
Mira,37.939247,23.66156,132.0
Ydragogeio,35.516705,24.022205,66.0
Koubes,35.50424,24.026394,42.0
BaRa Piato,35.51603,24.018814,49.0
Kuzina Casual Food,35.340607,25.120008,57.0
Gianni's Tavern,35.1919,25.077774,42.0
Almyra Restaurant,35.01059,25.74911,39.0
Mikro Livadi Farm To The Table Restaurant,35.348,24.336802,172.0
Bikakis Bakery-Cafe-Street Food,35.355804,24.464474,58.0
Kallitechniko Kafeneio - Mezedopoleio,37.050896,25.238693,77.0
Agianemi Restaurant,36.971813,24.724474,141.0
Gerani Restaurant,36.542793,26.343006,609.0
Yacht Cafe,36.615925,27.835976,85.0
Achilleas Traditional Taverna,39.624363,19.922373,51.0
Celestino Trattoria,39.196796,20.185663,162.0
Gorilla Bar SKG,40.63712,22.937618,55.0
Ambrosia Restaurant,40.522633,22.999956,57.0
Erebuni Ethnic & Delicious,40.609413,22.95172,278.0
Leon,37.7388,26.746695,271.0
Kastro Restaurant- grill house,39.14923,23.843966,249.0
Kritamo,39.36162,22.946712,67.0
La Marimba,39.359764,22.958044,97.0
Kipos,41.143986,24.890324,62.0
Kapari,36.144566,23.00086,199.0
Zanzibar Beach Bar Restaurant,36.80437,21.75328,191.0
Mad Pizza e Bar,35.31212,25.39771,45.0
King Scorpio Beach Club Restaurant,35.3112,25.401089,653.0
"Bufala Gelato, Vouliagmeni",37.811256,23.7827,96.0
TO BAZAKI Juice Bar,38.02093,23.80267,42.0
Taverna Agistri,35.309296,25.519974,192.0
Jack Daniel's Friends By Smokey Joe's,36.346905,28.201714,718.0
Capricci,36.44871,28.215368,866.0
Giacomo Paros,37.124638,25.239086,108.0
Taverna Kostas,35.290848,25.441113,816.0
Tanu's,38.159634,20.482626,362.0
Unan Asian Fusion,37.690395,26.928537,124.0
Genteki,37.689747,26.940783,342.0
Anemomilos Restaurant,40.269627,23.448294,738.0
Avanti,37.730556,20.87111,430.0
Asian palace India & chinese Restaurant,36.784492,27.14593,322.0
Ariadni Restaurant,36.78458,27.146004,692.0
Kavo Seaside Restaurant,37.76296,20.928062,169.0
Mythos Restaurant Gouvia,39.652153,19.844707,430.0
Bakalo,37.443314,25.328533,1003.0
Gyros Corner - O Pontos,37.44504,25.327522,271.0
Stazei Meli,39.623222,19.922598,387.0
Firi Firi - The Beer House,39.62471,19.917997,167.0
Tartarooga Beach Bar Restaurant,38.068928,20.76876,78.0
Sofra Restaurant,36.89812,27.286774,128.0
Astakos steaks & seafood,36.8985,27.287022,183.0
More Cafe Bar,36.893223,27.286943,202.0
Coffee House,36.899582,27.285217,56.0
Fuse Bar New,36.07336,28.054014,61.0
