name,latitude,longitude,rating,num_reviews,rooms,total_grade
Royalty Hotel Athens,37.977127,23.726442,4.5,25.0,0.0,100.0
Dave Red Athens - Son of A Brown,37.98556,23.728083,3.5,38.0,87.0,100.0
Hotel Semeli,38.00164,23.73454,3.5,91.0,23.0,84.0
The Lekka Hotel & Spa,37.977436,23.731247,4.5,4.0,53.0,100.0
Ramada by Wyndham Attica Riviera,38.044376,24.000168,4.0,581.0,129.0,0.0
Parnis Palace Hotel Suites,38.12208,23.734367,2.0,56.0,60.0,0.0
Plaza Riviera Hotel,37.8729,23.73983,0.0,0.0,17.0,68.0
Pefkakia Hotel,37.988014,23.742083,0.0,0.0,48.0,81.0
Hydra Traditional Hotel,37.347233,23.463194,0.0,0.0,8.0,87.0
Hotel Maxim,37.98099,23.72822,0.0,0.0,22.0,100.0
Hotel Aristofanis,37.98024,23.72423,0.0,0.0,9.0,100.0
Hotel Etoile,37.98709,23.72895,0.0,0.0,15.0,100.0
Nlh Mati Seaside | Neighborhood Lifestyle Hotels,38.04739,23.99784,0.0,0.0,82.0,0.0
Hotel Dodoni,37.98717,23.72527,0.0,0.0,19.0,100.0
Hotel Neon Boston,37.98824,23.72009,0.0,0.0,20.0,96.0
Hotel Rhea,37.99081,23.72072,0.0,0.0,36.0,87.0
Hotel Orea Thessalia,37.98757,23.72553,0.0,0.0,25.0,100.0
Hotel Festos,38.14042,23.828829,4.0,9.0,119.0,0.0
Alexander Beach Hotel,37.725964,23.908476,3.0,103.0,105.0,0.0
New Victory,37.995716,23.730288,3.5,37.0,0.0,93.0
Athenaeum Palace & Luxury Suites,37.956696,23.717133,3.5,147.0,108.0,81.0
Hotel Diva,37.99833,23.73698,3.0,24.0,18.0,87.0
Liberty Hotel,37.986557,23.727398,3.0,32.0,16.0,100.0
Remvi Hotel,38.01267,23.73563,3.0,9.0,45.0,65.0
Hotel Androniki,37.98347,23.72574,4.0,1.0,23.0,100.0
Ionis Hotel,37.98634,23.72637,2.5,119.0,102.0,100.0
Jason Prime,37.98428,23.72379,3.0,75.0,82.0,100.0
Hotel Vergina,37.98637,23.72509,2.5,3.0,18.0,100.0
Hotel El Greco,37.98265,23.72726,3.5,6.0,92.0,100.0
Hotel Leto,37.98668,23.72801,5.0,1.0,19.0,100.0
Anixis,37.98273,23.718533,5.0,1.0,20.0,100.0
Lion Hotel Apartments,37.979286,23.749292,4.0,82.0,17.0,100.0
Hotel Stadion,37.97258,23.74388,4.0,2.0,187.0,100.0
Hotel Phedra,37.971,23.73041,3.5,26.0,21.0,100.0
